Date,Last Price,Volume,SMAVG (15)
01/17/2013,34.38,1436604,963627
01/18/2013,34.52,3555074,1163227
01/22/2013,35.19,1920131,1263626
01/23/2013,36,1564206,1328250
01/24/2013,36.99,1970389,1379962
01/25/2013,36.98,1287703,1416347
01/28/2013,38.03,1985992,1503813
01/29/2013,37.95,1426503,1569453
01/30/2013,37.52,968098,1548394
01/31/2013,37.51,901318,1561950
02/1/2013,38.3,1100590,1573829
02/4/2013,37.74,1127989,1544810
02/5/2013,38.13,1310192,1570488
02/6/2013,39.17,1893148,1588405
02/7/2013,39.48,1197521,1576364
02/8/2013,39.24,1139733,1556573
02/11/2013,38.42,3266248,1537317
02/12/2013,37.89,2261246,1560058
02/13/2013,38.45,967102,1520252
02/14/2013,38.3,990640,1454935
02/15/2013,37.04,2018269,1503639
02/19/2013,39.28,2701340,1551329
02/20/2013,38.54,3121910,1664356
02/21/2013,35.16,9038212,2202364
02/22/2013,36.11,2547831,2312132
02/25/2013,34.38,2890772,2431477
02/26/2013,34.43,2763050,2540481
02/27/2013,35.1,1959129,2583744
02/28/2013,34.83,1964893,2588527
03/1/2013,34.65,1546600,2611798
03/4/2013,35.58,1757660,2652994
03/5/2013,36.65,2086969,2574375
03/6/2013,37.69,1149925,2500287
03/7/2013,38.23,1158354,2513037
03/8/2013,38.47,912052,2507798
03/11/2013,39.1,1579440,2478543
03/12/2013,39.12,1275062,2383457
03/13/2013,38.98,821986,2230129
03/14/2013,36.85,2024459,1762546
03/15/2013,35.29,3279777,1811342
03/18/2013,35.15,1316336,1706380
03/19/2013,35.08,1098475,1595408
03/20/2013,35.95,1423684,1559712
03/21/2013,36.01,1146287,1505138
03/22/2013,36.62,446235,1431780
03/25/2013,37.53,2379354,1473226
03/26/2013,37.86,1808137,1454638
03/27/2013,38.16,1296283,1464395
03/28/2013,37.89,1158652,1464415
04/1/2013,43.93,14105873,2344003
04/2/2013,44.34,6652374,2682198
04/3/2013,41.1,5644995,2973527
04/4/2013,42.01,2264867,3069719
04/5/2013,41.37,1552389,3038248
04/8/2013,41.83,1679001,2931530
04/9/2013,40.5,1696036,2956843
04/10/2013,41.86,2121088,3025017
04/11/2013,43.59,3448081,3159977
04/12/2013,43.75,3149372,3293516
